
Ncat: Version 7.60 ( https://nmap.org/ncat )
Ncat: Connected to 10.0.0.1:80.
packet1: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet1: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet2: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet2: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet3: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet3: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet4: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet4: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet5: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet5: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet6: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet6: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet7: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet7: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
packet8: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
[ECHO:] packet8: source_ip=10.3.10.11, destination_host=lb, destination_ip=10.0.0.1, protocol=tcp, destination_port=80, load_balancer=True, nated_destination_host=rs1, nated_source_ip=, nated_source_port=, nated_destination_ip=10.1.10.11, nated_destination_port=
