
Ncat: Version 7.60 ( https://nmap.org/ncat )
Ncat: Connected to 192.168.123.6:9200.
packet1: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet1: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet2: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet2: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet3: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet3: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet4: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet4: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet5: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet5: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet6: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet6: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet7: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet7: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
packet8: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
[ECHO:] packet8: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9200
