
Ncat: Version 7.60 ( https://nmap.org/ncat )
Ncat: Connected to 192.168.123.6:9201.
packet1: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
[ECHO:] packet1: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet2: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
[ECHO:] packet2: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet3: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
[ECHO:] packet3: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet4: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
[ECHO:] packet4: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet5: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet6: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet7: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
packet8: source_ip=192.168.123.1, destination_host=outside, destination_ip=192.168.123.6, protocol=udp, destination_port=9201
