Interface    Master    IPv6 address/mask                         Admin/Oper    BGP Neighbor    Neighbor IP
-----------  --------  ----------------------------------------  ------------  --------------  -------------
Bridge                 fe80::a8c1:abff:fe8b:8106%Bridge/64       up/up         N/A             N/A
Ethernet0              fe80::a8c1:abff:fe8b:8106%Ethernet0/64    up/up         N/A             N/A
Ethernet4              fe80::a8c1:abff:fe8b:8106%Ethernet4/64    up/up         N/A             N/A
Ethernet8              fe80::a8c1:abff:fe8b:8106%Ethernet8/64    up/up         N/A             N/A
Ethernet12             fe80::a8c1:abff:fe8b:8106%Ethernet12/64   up/up         N/A             N/A
Ethernet16             fe80::a8c1:abff:fe8b:8106%Ethernet16/64   up/up         N/A             N/A
Ethernet20             fe80::a8c1:abff:fe8b:8106%Ethernet20/64   up/up         N/A             N/A
Ethernet24             fe80::a8c1:abff:fe8b:8106%Ethernet24/64   up/up         N/A             N/A
Ethernet28             fe80::a8c1:abff:fe8b:8106%Ethernet28/64   up/up         N/A             N/A
Ethernet32             fe80::a8c1:abff:fe8b:8106%Ethernet32/64   up/up         N/A             N/A
Ethernet36             fe80::a8c1:abff:fe8b:8106%Ethernet36/64   up/up         N/A             N/A
Ethernet40             fe80::a8c1:abff:fe8b:8106%Ethernet40/64   up/up         N/A             N/A
Ethernet44             fe80::a8c1:abff:fe8b:8106%Ethernet44/64   up/up         N/A             N/A
Ethernet48             fe80::a8c1:abff:fe8b:8106%Ethernet48/64   up/up         N/A             N/A
Ethernet52             fe80::a8c1:abff:fe8b:8106%Ethernet52/64   up/up         N/A             N/A
Ethernet56             fe80::a8c1:abff:fe8b:8106%Ethernet56/64   up/up         N/A             N/A
Ethernet60             fe80::a8c1:abff:fe8b:8106%Ethernet60/64   up/up         N/A             N/A
Ethernet64             fe80::a8c1:abff:fe8b:8106%Ethernet64/64   up/up         N/A             N/A
Ethernet68             fe80::a8c1:abff:fe8b:8106%Ethernet68/64   up/up         N/A             N/A
Ethernet72             fe80::a8c1:abff:fe8b:8106%Ethernet72/64   up/up         N/A             N/A
Ethernet76             fe80::a8c1:abff:fe8b:8106%Ethernet76/64   up/up         N/A             N/A
Ethernet80             fe80::a8c1:abff:fe8b:8106%Ethernet80/64   up/up         N/A             N/A
Ethernet84             fe80::a8c1:abff:fe8b:8106%Ethernet84/64   up/up         N/A             N/A
Ethernet88             fe80::a8c1:abff:fe8b:8106%Ethernet88/64   up/up         N/A             N/A
Ethernet92             fe80::a8c1:abff:fe8b:8106%Ethernet92/64   up/up         N/A             N/A
Ethernet96             fe80::a8c1:abff:fe8b:8106%Ethernet96/64   up/up         N/A             N/A
Ethernet100            fe80::a8c1:abff:fe8b:8106%Ethernet100/64  up/up         N/A             N/A
Ethernet104            fe80::a8c1:abff:fe8b:8106%Ethernet104/64  up/up         N/A             N/A
Ethernet108            fe80::a8c1:abff:fe8b:8106%Ethernet108/64  up/up         N/A             N/A
Ethernet112            fe80::a8c1:abff:fe8b:8106%Ethernet112/64  up/up         N/A             N/A
Ethernet116            fe80::a8c1:abff:fe8b:8106%Ethernet116/64  up/up         N/A             N/A
Ethernet120            fe80::a8c1:abff:fe8b:8106%Ethernet120/64  up/up         N/A             N/A
Ethernet124            fe80::a8c1:abff:fe8b:8106%Ethernet124/64  up/up         N/A             N/A
Loopback0              fe80::e489:c2ff:fe09:3302%Loopback0/64    up/up         N/A             N/A
docker0                fd00::1/80                                up/down       N/A             N/A
dummy        Bridge    fe80::6868:ffff:feca:d3e2%dummy/64        up/up         N/A             N/A
eth0                   fe80::e00:61ff:feda:e200%eth0/64          up/up         N/A             N/A
                       fec0::e00:61ff:feda:e200/64                             N/A             N/A
eth1                   fe80::a8c1:abff:fe95:12ef%eth1/64         up/up         N/A             N/A
eth2                   fe80::a8c1:abff:fef2:8b0%eth2/64          up/up         N/A             N/A
lo                     ::1/128                                   up/up         N/A             N/A
sr0                    fe80::ec13:7cff:feb4:5ac2%sr0/64          up/up         N/A             N/A
